time 08:30-09:00 09:00-09:30 09:30-10:00 10:00-10:30 10:30-11:00 11:00-11:30 11:30-12:00 12:00-12:30 12:30-13:00 13:00-13:30 13:30-14:00 14:00-14:30 14:30-15:00 15:00-15:30 15:30-16:00 16:00-16:30 16:30-17:00 17:00-17:30 17:30-18:00 18:00-18:30 18:30-19:00 19:00-19:30 19:30-20:00 20:00-20:30 20:30-21:00 21:00-21:30 21:30-22:00 22:00-22:30 22:30-23:00 23:00-23:30 23:30-24:00
time name preference
08:30-09:00 Amy 0
09:00-09:30 Amy 1
09:30-10:00 Amy 1
10:00-10:30 Amy 2
10:30-11:00 Amy 2
11:00-11:30 Amy 2
11:30-12:00 Amy 2
12:00-12:30 Amy 1
12:30-13:00 Amy 0
13:00-13:30 Amy 0
13:30-14:00 Amy 0
14:00-14:30 Amy 0
14:30-15:00 Amy 2
15:00-15:30 Amy 2
15:30-16:00 Amy 1
16:00-16:30 Amy 1
16:30-17:00 Amy 1
17:00-17:30 Amy 0
17:30-18:00 Amy 0
18:00-18:30 Amy 0
18:30-19:00 Amy 2
19:00-19:30 Amy 2
19:30-20:00 Amy 2
20:00-20:30 Amy 2
20:30-21:00 Amy 2
21:00-21:30 Amy 0
21:30-22:00 Amy 0
22:00-22:30 Amy 0
22:30-23:00 Amy 0
23:00-23:30 Amy 0
23:30-24:00 Amy 0
08:30-09:00 Bob 1
09:00-09:30 Bob 1
09:30-10:00 Bob 2
10:00-10:30 Bob 2
10:30-11:00 Bob 2
11:00-11:30 Bob 0
11:30-12:00 Bob 0
12:00-12:30 Bob 0
12:30-13:00 Bob 0
13:00-13:30 Bob 0
13:30-14:00 Bob 1
14:00-14:30 Bob 1
14:30-15:00 Bob 1
15:00-15:30 Bob 2
15:30-16:00 Bob 2
16:00-16:30 Bob 2
16:30-17:00 Bob 2
17:00-17:30 Bob 0
17:30-18:00 Bob 0
18:00-18:30 Bob 0
18:30-19:00 Bob 0
19:00-19:30 Bob 0
19:30-20:00 Bob 2
20:00-20:30 Bob 2
20:30-21:00 Bob 2
21:00-21:30 Bob 2
21:30-22:00 Bob 2
22:00-22:30 Bob 0
22:30-23:00 Bob 0
23:00-23:30 Bob 0
23:30-24:00 Bob 0
08:30-09:00 Charles 2
09:00-09:30 Charles 1
09:30-10:00 Charles 0
10:00-10:30 Charles 0
10:30-11:00 Charles 2
11:00-11:30 Charles 0
11:30-12:00 Charles 0
12:00-12:30 Charles 0
12:30-13:00 Charles 1
13:00-13:30 Charles 1
13:30-14:00 Charles 1
14:00-14:30 Charles 1
14:30-15:00 Charles 1
15:00-15:30 Charles 2
15:30-16:00 Charles 2
16:00-16:30 Charles 2
16:30-17:00 Charles 2
17:00-17:30 Charles 1
17:30-18:00 Charles 1
18:00-18:30 Charles 1
18:30-19:00 Charles 1
19:00-19:30 Charles 0
19:30-20:00 Charles 0
20:00-20:30 Charles 0
20:30-21:00 Charles 0
21:00-21:30 Charles 2
21:30-22:00 Charles 2
22:00-22:30 Charles 2
22:30-23:00 Charles 1
23:00-23:30 Charles 1
23:30-24:00 Charles 1
08:30-09:00 Dave 0
09:00-09:30 Dave 0
09:30-10:00 Dave 0
10:00-10:30 Dave 0
10:30-11:00 Dave 2
11:00-11:30 Dave 2
11:30-12:00 Dave 2
12:00-12:30 Dave 2
12:30-13:00 Dave 2
13:00-13:30 Dave 2
13:30-14:00 Dave 0
14:00-14:30 Dave 0
14:30-15:00 Dave 0
15:00-15:30 Dave 1
15:30-16:00 Dave 1
16:00-16:30 Dave 1
16:30-17:00 Dave 1
17:00-17:30 Dave 1
17:30-18:00 Dave 1
18:00-18:30 Dave 2
18:30-19:00 Dave 2
19:00-19:30 Dave 2
19:30-20:00 Dave 2
20:00-20:30 Dave 1
20:30-21:00 Dave 2
21:00-21:30 Dave 2
21:30-22:00 Dave 1
22:00-22:30 Dave 3
22:30-23:00 Dave 3
23:00-23:30 Dave 3
23:30-24:00 Dave 3
